path,                            name


== cinema / fictional characters

021-hannibal_lecter__(the_silence_of_the_lambs).png,   Hannibal Lecter
055-amelie__(amelie).png,                 Amelie

068-john_rambo__(first_blood).png,        Rambo

053-agent_smith__(the_matrix).png,           Agent Smith
080-morpheus__(the_matrix).png,   Morpheus
082-neo__(the_matrix).png,        Neo
094-trinity__(the_matrix).png,    Trinity

086-red_queen__(alice_in_wonderland).png,   Red Queen

098-william_wallace__(braveheart).png,   Braveheart

163-doc_brown__(back_to_the_future).png,     dr_emmett_brown

169-grinch__(how_the_grinch_stole_christmas).png,     the_grinch

187-robocop__(robocop).png,       robocop
188-rocky_balboa__(rocky).png,    rocky


197-terminator__(terminator_2_judgment_day).png,   terminator
198-the_mask__(the_mask).png,      the_mask


205-caesar__(war_of_the_planet_of_the_apes).png,   caesar

225-james_bond__(skyfall).png,   james_bond

250-zorro__(the_mask_of_zorro).png,   zorro


279-joker__(joker).png,                           the_joker
300-willy_wonka__(charlie_and_the_chocolate_factory).png,    willy_wonka




== cinema / harry potter

064-harry_potter__(harry_potter_franchise).png, Harry Potter
091-severus_snape__(harry_potter_franchise).png,  Severus Snape
092-sirius_black__(harry_potter_franchise).png,  Sirius Black
097-voldemort__(harry_potter_franchise).png,    Voldemort

== cinema / star wars

255-c-3po__(star_wars_franchise).png,             c3po
256-count_dooku__(star_wars_franchise).png,     count_dooku
258-darth_maul__(star_wars_franchise).png,       darth_maul
259-darth_sidious__(star_wars_franchise).png,      darth_sidious
260-darth_vader__(star_wars_franchise).png,        darth_vader
266-han_solo_hoth__(star_wars_franchise).png,     han_solo_hoth
267-han_solo__(star_wars_franchise).png,              han_solo
281-lando_calrissian__(star_wars_franchise).png,   lando_calrissian
286-obi-wan_kenobi__(star_wars_franchise).png,   obi-wan_kenobi
288-princess_leia__(star_wars_franchise).png,    princess_leia




#######
## (re)use some characters for non-cinema samples


== art / modern

118-frida_kahlo__(frida).png,    Frida Kahlo

== politics

130-leonidas__(300).png,    Leonidas


== history / mythology

152-achilles__(troy).png,   Achilles


